"","Year","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_earnings","Director","Actor","PG"
"64",2019,64,"Now You See Me 2","The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",129,"Action",6.4,46,309462,65.08,"Jon M. Chu","Jesse Eisenberg","12A"
"65",2019,65,"Lights Out","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",81,"Horror",6.3,58,137956,67.27,"David F. Sandberg","Teresa Palmer","15"
"66",2019,66,"The Great Wall","In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",103,"Action",5.9,42,142637,45.54,"Yimou Zhang","Matt Damon","12A"
"67",2019,67,"War Dogs","Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",114,"Biography",7.1,57,239815,43.03,"Todd Phillips","Jonah Hill","15"
"68",2019,68,"The Accountant","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",128,"Action",7.3,51,309361,86.26,"Gavin O'Connor","Ben Affleck","15"
"69",2019,69,"Ghostbusters","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",117,"Action",6.8,60,239602,128.3,"Paul Feig","Melissa McCarthy","12A"
"70",2019,70,"The Shallows","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",86,"Action",6.3,59,140388,55.12,"Jaume Collet-Serra","Blake Lively","15"
"71",2019,71,"Silence","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161,"Drama",7.2,79,118332,7.1,"Martin Scorsese","Andrew Garfield","15"
"72",2019,72,"The Lost City of Z","A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",141,"Adventure",6.6,78,96512,8.58,"James Gray","Charlie Hunnam","15"
"73",2019,73,"A Cure for Wellness","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",146,"Drama",6.4,47,105962,8.11,"Gore Verbinski","Dane DeHaan","18"
"74",2019,74,"The Girl on the Train","A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.",112,"Crime",6.5,48,194869,75.4,"Tate Taylor","Emily Blunt","15"
